plot_id  | movie_id | contents
1|tt0499549|When his brother is killed in a robbery, paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridges intentions of driving off the native humanoid Navi in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs, Jake gathers intel for the cooperating military unit spearheaded by gung-ho Colonel Quaritch, while simultaneously attempting to infiltrate the Navi people with the use of an avatar identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri, the restless Colonel moves forward with his ruthless extermination tactics, forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora.
2|tt0499549|In the future, Jake, a paraplegic war veteran, is brought to another planet, Pandora, which is inhabited by the Navi, a humanoid race with their own language and culture. Those from Earth find themselves at odds with each other and the local culture.
3|tt0120338|84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fianc, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.
4|tt0120338|After winning a trip on the RMS Titanic during a dockside card game, American Jack Dawson spots the society girl Rose DeWitt Bukater who is on her way to Philadelphia to marry her rich snob fianc Caledon Hockley. Rose feels helplessly trapped by her situation and makes her way to the aft deck and thinks of suicide until she is rescued by Jack. Cal is therefore obliged to invite Jack to dine at their first-class table where he suffers through the slights of his snobbish hosts. In return, he spirits Rose off to third-class for an evening of dancing, giving her the time of her life. Deciding to forsake her intended future all together, Rose asks Jack, who has made his living making sketches on the streets of Paris, to draw her in the nude wearing the invaluable blue diamond Cal has given her. Cal finds out and has Jack locked away. Soon afterwards, the ship hits an iceberg and Rose must find Jack while both must run from Cal even as the ship sinks deeper into the freezing water.
5|tt0120338|Deep-sea explorer Brock Lovett has reached the most famous shipwreck of all - the Titanic. Emerging with a safe believed to contain a diamond called The Heart of the Ocean, he discovers the safe does not hold the diamond but a drawing of a beautiful woman wearing it. When Brock is later interviewed on TV, he shows the drawing to the cameras, and a 100-year-old woman named Rose Calvert living in Michigan recognizes the woman in the drawing - herself! On a visit to Brocks explorer ship over the wreck, Rose tells her story of the Titanic and its ill-fated voyage. Engaged to a would-be steel magnate, Caledon Hockley, she boards the Titanics first-class suites with him and her mother in Southampton. Also boarding are Jack Dawson and his best friend Fabrizio De Rossi, after a lucky poker game wins them tickets in steerage. When Rose attempts suicide by jumping off the stern in third-class, Jack pulls her back onto the ship... and a bond is forged between them as Jack is invited by her into first-class the following day. Roses mother and Caledon Hockley try desperate measures to keep them apart. But that strategy goes out the window when the Titanic collides with an iceberg, and due to a design flaw begins to sink - despite being proclaimed unsinkable. Now Rose and Jack must fight to stay alive, but is young Jack already doomed because of his lower status as a steerage passenger?
6|tt0120338|Titanic, the ship of dreams. Is also known as unsinkable, and it was unsinkable on its departure on April 10th, 1912. And on its epic journey, a poor artist named Jack Dawson and a rich girl Rose DeWitt Bukater fall in love, until one night, their fairy tale love for one another turns into a struggle for survival on a ship about to founder to the bottom of the North Atlantic. Rose leaves her fianc Caledon Hockley for this poor artist, but when the Titanic collides with the iceberg on April 14th, 1912, and then when the ship sinks on April 15th, 1912 at 2:20 in the morning, Jack dies and Rose survives and 84 years later Rose tells the story about her life on Titanic to her granddaughter and friends on the Keldysh and explains the first sight of Jack that falls into love, then into a fight for survival. When Rose gets saved by one lifeboat that comes back, they take her to the Carpathia with the six saved with Rose and the 700 people saved in the lifeboats. The Carpathia immigration officer asks Rose what her name is and she loved Jack so much she says her name is not Rose DeWitt Bukater, but her name is Rose Dawson. She seen Cal looking for her, but he does not see her, and they never ended up together, her mother, Cal and friends of the family has no choice but to think that she died on the Titanic. But in the crash of 1929, Cal is married, but then he put a pistol in his mouth and committed suicide. So Rose is an actress in the 1920s, and now 84 years later Rose Calvert is 100 years old and tells her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich the whole story from departure until the death of Titanic on its first and last voyage, and then to Rose all Titanic and the real love of her life Jack Dawson is all an existence inside of her memory, and Titanic is to rest in peace at the bottom of the North Atlantic from 1912 until the end of time.
7|tt0120338|Beginning with genuine footage of the departure of the Titanic on its fateful voyage, this epic movie tells the events of that tragic night from the perspective of fictional survivor Rose. As an old lady of 100, she recounts her story of duty, love and disaster to a salvage crew searching for a lost diamond.
8|tt0848228|Nick Fury is director of S.H.I.E.L.D, an international peace keeping agency. The agency is a whos who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster.
9|tt0848228|Loki, the stepbrother of Thor, teams-up with the Chitauri Army and uses the Tesseract power to travel from Asgard to Earth to plot the invasion of Earth by the Chitauri and become the king of Earth. The director of the agency S.H.I.E.L.D Nick Fury sets in motion the project The Avengers, joining Tony Stark a.k.a. the Iron Man; Steve Rogers, a.k.a. Captain America; Bruce Banner, a.k.a. The Hulk; Thor; Natasha Romanoff, a.k.a. Black Widow; and Clint Barton, a.k.a. Hawkeye, to save the world from the powerful Loki and the alien invasion.
10|tt0848228|S.H.I.E.L.D. has located the mysterious Tesseract device and the Armys super soldier Captain America. The Tesseract is actually a gateway to an entirely new world called Asguard. A mysterious being known as Loki arrives on earth and immediately assumes that he can rule all human beings. But that irks S.H.I.E.L.D. directory Nick Fury the wrong way. As Loki escapes with the Tesseract, Nick Fury believes this is an act of war against Earth. His only hope is to assemble an actual team of super heroes. Dr. Bruce Banner, who turns into an enormous green rage monster known as the Hulk. Tony Stark and his venerable Iron Man armor. Captain America, the Stark Enterprises created super soldier. Thor, the god of thunder, protector of Earth and his home planet of Asguard, and Lokis brother. Master assassins Hawkeye and Natasha Romanoff. Together they will become a team to take on an attack that will call them to become the greatest of all time.
